	Text
2024	از تنظیمات دستی این دوربین نیز می‌توان به فوکوس،  تنظیمات نوردهی،  سرعت شاتر،  تراز سفیدی و امکان دسترسی سریع و مستقیم به بعضی قابلیت‌ها اشاره کرد.
105	این دوربین توانایی ضبط ویدیویی 1080p Full HD را نیز دارد.
2825	حتی چاپ عکس نیز با این پرینتر با کیفیت خوبی صورت می‌گیرد.
52	این پرینتر بدنه‌ی مشکی استایلیش و البته نه خیلی لوکس دارد و سعی شده که کنترل‌ها و اتصالات کمی هم داشته باشد.
2230	• طراحی و ساخت از لحاظ طراحی،  iPod Touch نسل پنجم نیز همانند گوشی iPhone 5،  نسبت به مدل قبلی کشیده تر شده است.
2928	دکمه مکالمه یا Home تنها برآمدگی قسمت شیشه‌ای و صیقلی جلوی گوشی است.
6445	اميدوارم تونسته باشم تجربه ام رو به شما انتقال بدم.
1904	بهترین و قوی‌ترین سخت افزار در این گوشی به کار گرفته شده است از صفحه نمایشی عظیم و با کیفیت فوق‌العاده بالا گرفته تا پردازنده قدرتمند چهار هسته ای.
6632	263, H.
4818	دستگاه بسيار عالي است در ميان رقبا شکي نيست!
6818	من حدود پنچ ماهي ميشه که اين گوشي فوق العاده رو دارم.
6435	آنچه که در نقد اين تبلت مي نويسم صرفا تجربه شخصي است.
1720	البته با این لنزها دیگر فوکوس خودکار امکان‌پذیر نمی‌باشد.
1394	یکی دیگر از تجهیزات عرضه شده برای این دوربین کیت تصویر برداری سه بعدی آن است که این قابلیت را به شما می دهد تا با استفاده از دو دوربین GOPro مجزا تصاویری واقعا سه بعدی خلق کنید.
1485	اما در هنگام زوم کامل با f/6.3 چندان لنز سریعی نمی‌باشد.
6248	) اين همه شرکت بالا خره بعد از 6 سال تونستن درصد فروش android رو بيشتر از ios کنن و اين در حالي است که اگه بخوايم درصد فروش تک تک کامپاني ها رو حساب کنيم در برابر شرکت Apple هيچن .
1645	محیط نرم افزاری به لطف پردازنده بسیار قدرتمند دو هسته ای و حافظه RAM بالا، بسیار روان است و می‌توانیم بگوییم که به جز حالتی که از تصویر پس زمینه متحرک استفاده کردیم،  تقریبا هیچ‌گونه کاهش سرعتی هنگام کار کردن با این تبلت مشاهده نکردیم.
631	این گوشی از فرمت DivX پشتیبانی نمی‌کند و برای اجرای فیلم‌های با فرمت DivX،  کاربر باید از برنامه های پخش کننده استفاده نماید.
2693	خوب کافی است که به برنامه‌ی Maps رجوع کنید تا بوسیله‌ی آن نقشه‌ی کامل تمام کره‌ی زمین در کف دستتان باشد و موقعیت دقیق محلی که هستید را بیابید.
4279	"با بيمه و گارانتي هماهنگ
متاسفانه!"
7170	پردازنده‌ي XBOX 360 با بهره‌گيري از فن‌آوري ۹۰ نانومتري طراحي شده و از ۱۶۵ ميليون ترانزيستور بهره مي‌برد.
4249	به نظر من که با توجه امکاناتش قيمتش خيلي مناسبه.
549	نورسنجی هم خیلی خوب صورت می‌گیرد.
2964	در استفاده های معمولی تا دو روز می‌توانید با یک بار شارژ باتری از آن استفاده کنید.
6578	اين گوشي در رنگ ها و استايل هاي مختلفي نيز عرضه مي شود که در زير نمونه اي از اين رنگ ها را مشاهده مي کنيد.
3648	در مورد صفحه نمايش کوچيکش هم بايد بگم که قراره گوشي داشته باشي نه فبلت .
1684	وجود بخش عددی مجزا به مدل و سایز صفحه نمایش لپ‌تاپ بستگی دارد.
77	لنز ZS6 خیلی لنز خوبی است به طوری که کمینه ی فاصله ی کانونی آن 26 میلی متر می باشد که در این حال میدان دید خیلی گسترده ای را می تواند در یک میدان دید پوشش دهد.
452	به محض قرار دادن این دو در کنار یکدیگر نخستین چیزی که متوجه آن می شوید،  فقدان پنجره ی چشمی اپتیکال در مدل جدیدتر است.
1471	به همه این‌ها،  پشتیبانی آن از سیم کارت را نیز بی افزایید تا متوجه ارزشمندی این تبلت شوید.
3913	براي مثال xperia mini و xperia arc.
558	طراحی شده برای حداکثر جذابیت طراحی منحصر به فرد سامسونگ لذت مشاهده را به حداکثر ممکن ارتقا داده و نیز فضای داخلی خانه شما را زیباتر می سازد.
5695	به نظر من که معرکه هستش هيچ جاي حرفي باقي نذاشته
1580	این روشنایی فوق‌العاده به کاربران کمک خواهد کرد که حتی با وجود سطح براق صفحه نمایش،  به راحتی با تبلت خود در فضاهای بیرونی و یا در زیر تابش مستقیم نور آفتاب کار کنند.
2453	همچنین با بهره گیری از فناوری Wi-Fi امکان اتصال به اینترنت با سرعت بالا بر روی این تبلت وجود دارد.
3093	خوشبختانه سنسور تصویر حساسیت بسیار زیادی به نور دارد و کمینه‌ی نوری 0.1 لوکس را می‌تواند ثبت کند.
3056	این دوربین فیلم برداری،  با طراحی به رنگ خاکستری همراه شده است.
5265	شک نکنيد حتا الان!
5519	من جزو افراديم که خيلي زود زود گوشي عوض مي کنم و از ويژگي ها و شرايط ساير گوشي ها بي اطلاع نيستم.
2502	چیپ Nvidia Tegra3 به همراه پردازنده چهار هسته ای با فرکانس 1.5 گیگاهرتز و یک پردازشگر گرافیکی ULP GeForce،  اجزای تشکیل دهنده سخت افزار این گوشی می‌باشند که به همراه یک گیگابایت حافظه رم، عملکرد بسیار خوب و روانی را به نمایش می‌گذارند.
1997	همچنین بر روی این تبلت نسخه 4 از تکنولوژی بلوتوث نیز قرار دارد تا به کمک آن بتوان با سرعت بالا با دیگر گجت ها تبادل اطلاعات نمود.
1646	سامسونگ تعداد زیادی برنامه کاربردی به طور پیش فرض بر روی این تبلت قرار داده است که برای مثال می‌توان به فایل منیجر،  برنامه حرفه ای تدوین عکس و ویدئو،  دفترچه یادداشت و آفیس اشاره کرد.
1313	همانطور که اشاره کردیم،  چشمی این دوربین یک چشمی اپتیکال معمولی نیست بلکه یک چشمی هیبریدی اپتیکال/الکترونیکی است.
3044	رابط کاربری دوربین نیز بسیار ساده و کاربردی است.
117	به همین دلیل نیز F660 از لرزش گیر ترکیبی تصویر مکانیکی پیشرفته و الکترونیکی بهره می‌برد تا بتوانید با خیال آسوده و حتی در سرعت‌های شاتر پایین و بزرگنمایی های بالا نیز عکس‌های خیلی شارپ و با کیفیتی تولید کنید.
821	با اینکه صفحه نمایش Note 8 در مقایسه با بسیاری از رقبایش خیلی فوق‌العاده نیست و حتی از Note 10.1 نیز ضعیف‌تر است،  اما در کل عملکرد آن بسیار خوب و مناسب است که رضایت کاربر را جلب می‌نماید.
6213	جنس بدنه (ضامن عمر مفيد،  احساس کالاي لوکس داشتن،  کار کردن راحت تر بدون ترس از لغزيدن) هميشه اين امکان وجود داره که گوشي ضربه بخوره،  بدنه فلزي و پلي کربناتي گرماي پردازنده رو به بيرون منتقل ميکنن و اين عمر مفيد پردازنده رو زياد ميکنه و همچنين به سرد شدن زودتر آن نيز کمک ميکنه ( حتما خبرهاي منفجر شدن گوشي هاي SIII  رو شنيدين).
3907	"فوق العاده
"
2283	جنس بدنه این تبلت با وجود اینکه پلاستیکیست،  از پلاستیک براق بسیار با کیفیت ساخته شده است ولی متاسفانه اثر انگشت را به خوبی جذب کرده و نشان میدهد.
5981	تنها مشکل از نظر من سوکتشه که تا حالا مشکلي باهاش نداشتم و فکر نکنم اينقدرهام بد باشه .
2293	در سمت راست تبلت،  کلید پاور و کلیدهای کم و زیاد کردن صدا قرار دارند که به زیبایی بر روی لبه تبلت قرار گرفته اند و به همین دلیل وقتی تبلت را در حالت افقی قرار میدهید،  امکان فشار دادن این کلیدها بطور تصادفی وجود نداد.
3240	با توجه به قيمتش پرينتر خوبيه.
5311	من حدود يک ساله دارمش و واقعاً ازش راضي هستم.
1096	بنابراین طراحان،  این دوربین را با یک محافظ پلی کربناتی همراه کرده اند که ضد ضربه و ضد آب می باشد.
1949	از رقبای اصلی این لپ‌تاپ می‌توان به لپ‌تاپ‌های Fujitsu LifeBook AH-531 و Lenovo G570 اشاره کرد که تقریبا سخت افزار یکسانی دارند.
4877	رام هاي غير رسمي کامل اندرويد 4.1.2 براي اين گوشي اومده که واقعا گوشي رو معرکه ميکنه.
806	در ضمن،  بر روی لبه راست دستگاه نیز،  شکاف سیم کارت و کارت حافظه قرار گرفته‌اند که توسط در پوشی پوشانده شده‌اند.
3852	رنگ سفيدش باز بهتر بود.
4488	آفرين به سامسونگ همون چيزي که مشترى ميخاد ميده بازار .
1038	اگر جزو کسانی هستید که با گوشی خود زیاد ویدئو نگاه می‌کنید،  HTC One X Plus یکی از بهترین انتخاب‌ها برای شماست.
7376	و در آخر اينکه از انتخابتون لذت خواهيد برد و مطمئنا ناراضي نخواهيد بود چون مي دونم کارخانه ها هيچ چيزيو کامل توليد نمي کنن اما به راحتي مي گم کساني که از B7722 لذت بردند و يادشونه که چه گوشيه کاملي بود از اين گوشي هم به همون اندازه لذت خواهند برد .
6332	ولي خوب دوربين اينفينيتي يه مقدار بهتر بود.
129	در آینده و با ورود این محصول به بازار سعی می‌کنیم اطلاعات بیشتری را از آن ارایه کنیم.
2873	اما وقتی متوجه شوید که رزولوشن این صفحه نمایش 800×480 پیکسل است نا امید خواهید شد.
829	تمامی این قابلیت‌ها در کنار طراحی مناسب و البته کاربرد های فراوان آن،  قلم Note 8  را به بزرگ‌ترین مزیت آن تبدیل نموده است که این محصول را در بازار نسبت به دیگر 7 یا 8 اینچی‌ها متمایز می‌کند.
5415	يک دوربين عالي براي خانواده ها که هيچ کمبودي در اون احساس نميشه عکس خوب، فيلم خوب، باطري خوب، فلاش خوب، امکانات خوب و ..
4987	و xbox رو مغلوب اين رقابت ميدونم.
2656	در عوض همه‌ی کنترل‌های لمسی و غیر لمسی ارگونومی بسیار خوبی دارند و عملکردشان کاملاً راضی‌کننده است.
7206	حدود يک هفته اي ميشه که اين نت بوک رو از ديجي کالا تهيه کردم و ممنونم به دليل بسته بندي بسيار عالي که نگراني بزرگ من در خريد اينترنتي بود، خدارو شکر که ديجي کالا تو اين مورد سنگ تموم گذاشت.
2191	اما HX200v با توجه به بهبودهایی که داشته،  می‌تواند جایگاه مدل پیشین خود را در سال 2012 حفظ کند و تقریبا بهترین در کلاس خود باشد.
6079	بله داره ولي رابط کاربري اون چطور ؟
4786	گرافيک خوب .
7382	اينم مثل شرکت هاي ديگه در زمينه تکنولوژي ميمونه!
2258	این چیپ از پردازنده ARM Cortex-A9 استفاده کرده و به راحتی جوابگوی تمامی برنامه‌ها و بازی‌های سیستم عامل iOS می‌باشد.
6704	تنها ايرادش دوربين ضعيفش هست که با اينکه 8 مگاپيکسله و سنسور exmor داره اما کيفيت عکسش درحد همون کا750 بيشتر نيست!
3649	قدرت پردازندش عاليه .
1702	در حقیقت کمتر لپ‌تاپی در این بازه قیمتی وجود دارد که چنین کیفیتی را ارائه می‌دهد.
6929	با ۴ کيلوگرم وزن و از اکس باکس قديمي کوچکتر است.
4627	تقريباً کيفيت عکساشون مثل همه با اينکه اون دوربين کنون 12 مگاپيکسله و اين يکي 18 مگاپيکسل.
1498	264 ثبت می‌گردند.
5668	طراحي بسيار جالبي داره ،  داراي سرعت انتقال عالي ،  نرم افزارهاي کارامد و پشتيباني از يو اس بي 3 هست و اين امکانات در کنار گارانتي سازگار مي تونه تضمين کننده کيفيت اين هارد باشه ..
2071	در تستی که با باتری همراه این دوربین انجام دادیم،  این دوربین توانست تا مقداری کمتر از 2 ساعت فیلم برداری را در کیفیت کاملا انجام دهد که نسبتاً خوب است.
5027	از نظر من ايکس باکس خيلي از پلي استيشن سرتره و تنها نقطه قوت پلي استيشن بازي god of war 3 مي باشد.
6927	علاوه بر اين مورد کمبود WiFi داخلي و سر و صداي زياد درايو نيز مشکلات ديگر است که اميدواريم در ورژن هاي بعدي حل شوند.
4605	خيلي راحت فوکوس خودکار عمل ميکنه.
5997	با نگاهي موشکافانه به اين مدل مي توان شاخصه هاي آن را بدين گونه بر شمرد.
7247	در اينجا ميتونم بگم که لذت صفحه نمايش واقعا متفاوت 5 اينچي 4:3 رو شخصا چشيدم و پيشنهاد ميکنم از اين لذت ساده رد نشيد.
6896	براي اين قيمت بايد انتظار دوربين بهتري داشت .
214	از نظر ظاهری،  Ixus 240 HS شباهت زیادی با Ixus 510 HS دارد.
5079	واقعا حيف که دوربين نداره ولي نسبت به قيمش خيلي خوبه
6123	باطري بهتر از ٤ اساما نکته منفي همين زود خش برداشتنه که گوشي من بعد يه هفته هنوز بدون خشه در هر صورت چون من با گالاکسي اس ٣ و وان ايکس هم کار کردم هر دو اين گوشي ها هم قابل احترام هستند و بسته به بودجه مي تونيد انتخاب کنيد البته اين گوشي ها از نظر خوش دستي به ايفون ٥ نمي رسند در کل اين گوشي براي ايفون بازها مي تونه دلگرم کننده باشه و مطمئن باشيد با داشتنش بعد از يک هفته وابسته اش خواهيد شد
4606	ما که همه جوره راضي هستيم.
1541	اما LG برای این گوشی چیپ NFC در نظر نگرفته است و بجای آن قابلیت جابجایی مالتی مدیا با DLNA را قرار داده است.
2876	البته در فاصله استاندارد گوشی از چشم،  پیکسل‌ها دیده نمی‌شوند،  اما اگر با دقت به صفحه نمایش نگاه کنید می‌توانید به راحتی پیکسل‌های صفحه نمایش را تشخیص دهید.
5233	من آدم سخت گير و نکته سنجي در مورد خريد وسايل مورد نيازم هستم،  شايد دوربين اين دستگاه در نور کم عملکرد خوبي نداشته باشه ولي در نور روز عاليه و اين موضوع در برابر تمام خوبي هايش به هيچ وجه چيز مهمي نيست.
4122	خيلي ازش خوشم اومد،  بايد ببينيم قيمتش چنده اين مهمه
6853	به نظر من تنها مشکلش که به چشم مياد اينه که فلش خودکار نداره،  يعني جاي خاليش حس ميشه.
3982	خدايي بگم , قيمتشم هر چي باشه ارزش داره ديگه محصول اپل و کلاس کاري خودش ..
7383	مثلا کانن يا نيکون.
21	• بلندگوها در بالای کیبورد،  دو بلندگوی استریوی دستگاه قرار دارند که در زیر یک گرید یک تکه تعبیه شده‌اند.
6414	هردو تبلت شما را نا اميد نخواهد گذاشت اما پيشنهاد من به شما ايپد جديد است.
1335	این دوربین با ظاهری نامتعارف،  اما کاملا حرفه ای،  شما را به دنیای ورزش و ماجراجویی دعوت می کند.
2113	قابلیت‌های جدید اضافه کرده و تلویزیون خود را با محتواهای جدید از نو بسازید.
4228	البته من خودم اميدوارم نسخه ي بعديش هم به اندازه X-pro1 خوش عکس باشه .
2332	این رابط کاربری درست است که به زیبایی و تکامل رابط کاربری Sense کمپانی HTC نیست ولی در کل بسیار روان بوده و کار کردن با آن بسیار راحت است.
4404	ظاهرا دوربين خوبي است  اگه بشه براي مراسمات ازش استفاده کرد که عالي ميشد
6767	بايد گفت از دست سوني در رفتهآويس
6809	CPU بلک هم از ضعيف ترين CPU هاي تک هسته اي بازاره و در برابر CPU هاي Scorpion خيلي ضعيف تره.
4580	فيلم و ضبط صداشم فوق‌العاده است.
3921	تنها مشکل اين اسمارتفون فقط رزولوشن پايينش در برابر رقباست شايد از رزولوشون بالاتري استفاده ميشد تراکم پيکسليش بين اکسپريا تي (323ppi) و گلگسي اس3 (316ppi) ميشد پس نميشه گفت بهترين صفحه نمايش رو داره و همچين تراکم پيکسلي هم براي 4 اينچ چيز خارق العاده اي هم نيست.
4727	"قابليت تنظيم نور دهي در محيط هاي کم نور
باتري فوق‌العاده 
اجراي روان بازي هاي اچ دي
قابليت بک آپ گيري توسط خود گوشي از مخاطبين،  پيامها و برنامه ها .."
598	این صفحه‌ی نمایش 10.1 اینچی،  از نوع IPS LCD می‌باشد که رزولوشن آن نیز 800×1280 پیکسل است.
4372	همچنين از نظر باطري هم خيلي قوي تره  و در اخر هم خيلي از اين تبلت خوشگل تره
6995	البته اين کارت شبکه به صورت مجزا و با قيمتي حدود ۹۰ هزار تومان به فروش مي‌رسد.
4160	در کل من  به عنوان يه عکاس آماتور کاملا از اين دوربين راضيم.
555	با FT3 دیگر در کوهستان،  جنگل و یا کنار دریا،  نگران خیس شدن،  زمین خوردن و یا یخ‌زدگی دوربین خود نخواهید بود.
7133	premium اوليه عرضه شده هم زمان با مدل core داراي هارد 20 گيگ سفيد رنگ با درايو براق فلز نما.
5213	من اول ميخواستم ايسوس ترانسفر بگيرم اما با پيشنهاد دوستان اين مدلو گرفتم خيليم راضيم ازش.
435	مدت زمان اسکن این دستگاه با وضوح مختلف به صورت زیر است.
4861	با اين اوصافي که دوستان گفتن فکر نمي‌کنم اصلاً مناسب باشه.
1775	به علاوه این مرورگر اینترنت به کاربر این امکان را می‌دهد که صفحات اینترنتی مورد نظر را با دوستان خود از طریق SMS و شبکه های اجتماعی به اشتراک بگذارد.
5844	(چون يون مرورگرهاش چنگي به دل نميزنن و تعريفي ندارن و همينطور بازي ها رو با کيفيت خوبي نشون نميده!
3587	اپل هميشه عالي بوده،  ولي نسبت به قيمتش نمي ارزه
2533	باتری باتری موجود بر روی Optimus VU یک باتری 2100 میلی آمپر ساعتی لیتیوم یونی می‌باشد.
5771	اين لپ تاپ  اصلا براي کسايي که گيمر يا به اصطلاح خوره ي بازي هستند توصيه نمي کنم !
760	کافی است که آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا به صورت خودکار همه‌ی تنظیمات بر روی بهترین حالت قرار گیرد و با کیفیت ترین عکس گرفته شود.
6457	بعد از خريد ميتونيد نسخه اندرويدشو ارتقاء بديد قبل از اين کار باطري تبلتتون کامل باشه چون کمي طول ميکشه تا دانلود کنه و بعد نصب کنه هر دفعه خاموش روشن کردن تبلت سه درصد از شارژ باطري کم ميشه.
6139	ايا دو برابر کيفيت دوربين داره؟
3317	دوربينشم که جايي براي حرف نذاشته
108	بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد بعلاوه اینکه این دوربین توانایی ضبط ویدیویی با سرعت خیلی زیاد 320 فریم بر ثانیه را نیز دارد تا بعدا وقتی آن را با سرعت 30 فریم بر ثانیه مشاهده می‌کنید یک فیلم اسلوموشن را شاهد باشید.
2647	اما بعد از اینکه مدتی با آن کار می‌کنید، می‌بینید که آن طور هم که قبلا به نظر می‌آمد نیست و حس خوبی با آن خواهید داشت.
1936	این پردازنده‌ها قدرت کمتری نسبت به پردازنده های Intel Core دارند،  ولی در عوض،  مصرف انرژی آن‌ها نیز بسیار پایین‌تر است.
1373	در یک آزمایش که توسط یکی از کاربران این دوربین به عمل آمد،  دوربین به یک بالون هواشناسی کوچک متصل و در کنار یک گوشی آیفون به منظور رهگیری آن به فضا رها شد.
6811	درسته که ال جي ادعا کرده صفحه نمايش اپتيموس بلک درخشان ترين صفحه نمايش جهانه و بسيار باريکه اما خوبه بدونيد که همين صفحه نمايش Nova اصلا رنگ مشکي و رنگ هاي تيره رو با کيفيت نشون نميده و همين مورد روي وضوح تصاوير و زواياي صفحه نمايش تاثير بسيار بدي ميذاره.
6997	اين گوشي در کنسول XBOX 360 به کانکتوري که در زير دسته‌ي بازي قرار دارد،  وصل مي‌شود و اين مساله امکان استفاده‌ي سريع از اين وسيله را فراهم مي‌کند.
7004	پردازنده‌ي XBOX 360 با بهره‌گيري از فن‌آوري ۹۰ نانومتري طراحي شده و از ۱۶۵ ميليون ترانزيستور بهره مي‌برد.
6410	سيستم عامل محصولات اپل بازي ها و برنامه هاي فوق العاده اي داره و اندرويد هم همينطور اما شايد اندرويد با اومدن سيستم عامل ويندوز از ياد بره اما سيستم عامل اپل هميشه يک سيستم عامل محبوب خواهد ماند.
6858	نقاط ضعف : سيستم منو هاي نامناسب .
2787	نمایشگر بسیار با کیفیت می‌باشد و کادر بندی و تماشای عکس‌ها از طریق آن بسیار لذت بخش است.
1766	اصلی‌ترین تغییر ایجاد شده در سیستم عامل ویندوز فون 8 نسبت به نسخه های پیشین،  منوی Start است که قابلیت‌های شخصی سازی جدیدی به آن اضافه شده است.
2799	HP LaserJet P1102 مدل جدید پرینتر تک رنگ لیزری این شرکت از سری سطح مبتدی است که توانایی ارایه‌ی کیفیت خیلی خوب به همراه سرعت بالا دارد.
3232	"من اين نوت بوک رو خريدم از ديجي کالا 
واقعا نوت بوک عالي اي هست از هر نظر که فکرشو بکنيد!"
5520	از نظر سرعت اجرا و کيفيت صفحه نمايش و آنتن دهي با اين گوشي هيچ مشکلي نخواهيد داشت.
3078	از نظر کیفیت تصاویر باید گفت که Legira HF R206 خیلی متوسط عمل می‌کند.
1634	اگر نسخه 3G این تبلت را تهیه کرده باشید،  در کنار شیار مموری کارت،  شیار میکرو سیم کارت نیز قرار دارد.
4726	")
روان بدون هنگ
نرم‌افزار دوربين حرفه‌اي!"
3196	"خريدم يکبارم به مشکل نخوردم) هميشه هم از قيمت بازار پايينتره
پس با خيال راحت کالاتون رو خريداري کنيد  "
385	ولی به هر صورت این افزایش رزولوشن را می توانیم نه خوب و نه بد در نظر بگیریم.
6448	با عرض ادب.
4610	والا ما هم  زوم کرديم ولي کيفيت عکس خراب نشده.
2736	به عنوان یک گوشی تلفن همراه با چنین ویژگی‌ها و فناوری‌های خیره‌کننده‌ای،  Galaxy S II گوشی آسانی برای جمع بندی و اظهار نظر است.
1616	افزایش فرکانس سرعت پردازنده نیز عملکرد بی عیب و نقص تبلت را در این دقت بالاتر،  تضمین می‌کند.
4689	"من چند روزيه اين گوشي رو خريدم و به نظر من که در ماه شايد 2-3 تا گوشي عوض ميکنم با اين قيمت ميشه گفت فوق‌العادست
براي خريدش شک نکنيد"
5276	پر کار .
4843	مشکل اصلي اين تلويزونها به نظر من فقط داغ کردنه حالا مصرف برقش انچنان هزينه اي که قابل به چشم امدن باشه به وجود نمياره
161	صفحه نمایش 4.6 اینچی با تکنولوژی های HD Reality و Mobile BRAVIA Engine و رزلوشن 1280x720 که نیاز به هیچگونه تعریفی ندارد!
3865	براستي که ارزش خريد را دارد چون کاربري ان با تمام برندها متفاوت بوده  و چيزي کم ندارد.
405	این باعث شده که احساس خیلی بهتری در هنگام کار کردن با نمایشگر داشته باشید.
3045	با این دوربین امکان عکاسی در حالت‌های پیاپی،  HDR،  Panorama و عکاسی در شرایط نوری ضعیف را خواهید داشت.
683	به همین دلیل،  حسی که هنگام کار کردن با صفحه Retinaی MacBook Pro به شما انتقال می‌شود،  با صفحه Retinaی آیفون4 برابری می‌کند.
416	با این حال طبق ادعای کمپانی، این دوربین از نظر پردازش عکس‌ها قوی‌تر عمل می کند تا عکس‌های با کیفیت‌تری بدست آید.
5335	شما با داشتن اين گوشي هيچوقت احساس پشيماني نخواهيد کرد و از خريدش کاملاً راضي خواهيد بود چرا که اين گوشي در آينده نيز حرفهاي بسياري براي گفتن خواهد داشت.
759	بدین ترتیب که وقتی دوربین را بر روی این مود عکاسی قرار می‌دهید،  دوربین شما تبدیل به یک دوربین کاملا خودکار در عکاسی می‌شود.
5294	من نزديک 1 ساله اين گوشي رو دارم و واقعاً محشره (البته اگه اندرويد 4 رو روش نصب کنيد که ديگه فوق‌العاده ميشه !
1915	وزن این دستگاه تقریبا 2.5 کیلوگرم بوده و برای یک لپ‌تاپ 15.6 اینچی بسیار مناسب است.
6044	و ديگر مردم هم اين گوشي ها رو خريد نميکنن .
1627	GALAXY Tab 2 همانند مدل های گذشته از صفحه نمایشی هفت اینچی استفاده می کند.
610	این قلم علاوه بر کارایی اصلی خود در حین کار با تبلت،  یک کارایی شگفت انگیز دیگر نیز دارد.
4215	به نظر خيلي کارا مي آيد نميشه ازش گذشت ،  من سفارش مي دهم بعد از يک هفته مي آيم نظرم را مي گم
3625	به اين نتيجه رسيدم چون اين دوربين کامل شده نوع هاي قبلي خود است و نقص هاي دوربين هاي قبلي را در حد خيلي خوبي از بين برده و قيمتش هم بسيار مناسب و خوب است.
1978	از دیگر شکاف‌های موجود بر روی دستگاه می‌توان به شکاف کارت حافظه،  جک هدفون،  خروجی TV و درگاه اتصال داک کیبورد اشاره نمود.
3012	سخت افزار هواوی برای تبلت خود،  سخت افزاری قدرتمند را در نظر گرفته است.
4872	تصويرش عاليه
5537	رزولوشن صفحه اونطوري هم که ميگن ضعيف نيست!
3096	از آن جایی که یک دوربین فیلم برداری آماتوری است،  بنابراین مجهز به مود فیلم برداری اتوماتیک هوشمند یا همان Smart Auto می‌باشد.
2423	دوربین جلو،  مودم WiFi،  اسپیکر،  میکروفون داخلی،  قابلیت تشخیص 5 نقطه لمس همزمان و اپلیکیشن‌های جذاب و کاربردی تبلت GSP-X7 را یکی از محبوب‌ترین تبلت‌های 7 اینچی موجود در بازار ساخته است.
779	"•	قدرت دریافت بالای سیگنال با آنتنیکی از امکاناتی که گیرنده دیجیتال در اختیار کاربر قرار می‌دهد امکان گیرندگی شبکه‌های دیجیتال با بهترین کیفیت تنها با استفاده از آنتن رومیزی می‌باشد و دیگر نیازی به آنتن‌های قدیمی در پشت بام نیست ."
639	در نهایت،  همان‌طور که در توضیحات داک گفتیم،  دوربین 1.3 مگاپیکسلی موجود بر روی داک به کاربر در ایجاد مکالمات تصویری کمک می‌نماید.
1691	پردازنده‌ی Corei7 که قدرتمندترین آن‌هاست،  پردازنده‌ای ذاتا چهار هسته‌ای با توان تولید چهار هسته‌ی مجازی و کارکرد با مجموع هشت هسته است که عملکردی کم نظیر را ارائه می‌دهد.
3630	تبلت خوبيه ولي سامسونگ از لحاظ نرم افزاري براي اين تبلت نسبت به تبلت 10 اينچي 8000 کم گذاشته ولي از نظر سخت افزاري کيفيت خوبي داره و سرعت پردازش بسيار بالايي داره و حتي اگر تعداد زيادي برنامه سنگين نصب بشه برنامه ها راحت باز ميشه.
5132	با اين که باطريش يه باطري 2100 ميلي آمپر ساعتي جدا نشدنيه، باطري رو خيلي عالي نگه ميداره.
4811	با وجود پردازنده دو هسته اي که داره قيمتش مناسبه فقط بايد امتحانشا تو ايران پس بده  چون گوشي جديده
7035	"درايو نوري
درايو نوري اين دستگاه،  با کنترلر SATA به کنسول متصل مي‌شود و حداکثر از سرعت ۲۱X پشتيباني مي‌کند."
3560	امروز اين گوشي رو که تو پيشنهاد ويژه از ديجي کالا خريده بودم به دستم رسيد ،  جداي تعريف سرويس دهي و سرعتشون براي مني که تو تهران زندگي ميکنم عالي بود ؛ تو پک گوشي فقط شارژر و کابل اتصال به کامپيوتر بود و يه برگه گارانتي شرکت همراه سرويس خاورميانه که اطلاعات گارانتي رو وارد کردم تا برج 2 سال 93 اعتبار داشت ،  گوشي روون کار ميکنه ،  همه چيزش خوب بود نسبت به پولي که ميخواي بدي (البته xperia e dual گوشي بدي نيست ) اگه نمي خوايد پول زيادي بابت گوشي بديد اين يکي از بهترين انتخاب ها تو دو سيم ها است ( دو سيم بودن براي من خيلي مهم بود ) دوربين تعريف چنداني نداره ولي قدرت سيگنال wifi و gps خوب بود.
1736	طراحی و ساخت HTC در طراحی مدل جدید خود،  تا حدودی تحول ایجاد نموده.
5692	من اين تبلت رو از طريق همين سايت خريدم.
1054	هرچند که کمینه ی نسبت کانونی آن در حالت واید f/3.0 می باشد ولی در زوم کامل f/6.9 را ارائه می دهد که لنزی نسبتاً کند محسوب می شود.
6901	موفق باشيد
5842	حرف آخر اينکه اگه اهل بازي و اينترنت با گوشي هستيد اس 2 يا وان اس (البته دوربين 8 وان اس رو هم من از 10بهش 6 ميدم،  ولي بقيه ي امکاناتش در حد عالين!
2735	این ویژگی Voice to Speech در جاهای دیگر گوشی مثل جستجو در گوگل یا در مروگر برای نوشتن آدرس های اینترنتی هم کاربرد دارد.
240	در کل همان‌طور که گفتیم،  Ixus 240 HS هم دوربین دیگری از سری کوچک و استایلیش کانن است که همانند برادران خود برای کاربرانی که به دوربین‌های کوچک و با کیفیت برای عکاسی‌های روزانه احتیاج دارند ساخته شده است.
7173	"4-واحد پردازش گرافيکي (GPU)
Xenos نام اختصاصي پردازند‌ه‌ي‌ گرافيکي کنسول XBOX 360 است که شرکت ATI آن را طراحي کرده است."
